Players,Wicket Status,Wicket Type,R_ball,B,M_ball,4s_ball,6s_ball,SR,Month,Day,Year,Ground_Played,Team_ball,O,M_bat,R_bat,W,Econ,0s,4s_bat,6s_bat,WD,NB,Team_bat
AN Cook,c â Dhoni b Patel,c b,36.0,41.0,51.0,8.0,0.0,87.8,Aug,24,2007,"County Ground, Bristol",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MJ Prior,c Dravid b Patel,c b,33.0,28.0,49.0,6.0,0.0,117.85,Aug,24,2007,"County Ground, Bristol",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IR Bell,c Patel b Chawla,c b,64.0,96.0,128.0,6.0,1.0,66.66,Aug,24,2007,"County Ground, Bristol",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
KP Pietersen,b Chawla,b,25.0,25.0,50.0,3.0,0.0,100.0,Aug,24,2007,"County Ground, Bristol",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PD Collingwood,b Chawla,b,27.0,25.0,24.0,4.0,0.0,108.0,Aug,24,2007,"County Ground, Bristol",England,4.0,0.0,24.0,0.0,6.0,10.0,2.0,0.0,0.0,0.0,England
A Flintoff,c Agarkar b Powar,c b,9.0,7.0,5.0,2.0,0.0,128.57,Aug,24,2007,"County Ground, Bristol",England,10.0,0.0,56.0,5.0,5.6,26.0,5.0,0.0,1.0,3.0,England
RS Bopara,lbw b Patel,lbw b,17.0,20.0,22.0,1.0,0.0,85.0,Aug,24,2007,"County Ground, Bristol",England,4.0,0.0,27.0,0.0,6.75,8.0,3.0,0.0,0.0,0.0,England
AD Mascarenhas,c Agarkar b Singh,c b,52.0,39.0,45.0,1.0,5.0,133.33,Aug,24,2007,"County Ground, Bristol",England,4.0,0.0,31.0,0.0,7.75,12.0,6.0,0.0,1.0,0.0,England
SCJ Broad,not out,not out,29.0,24.0,35.0,2.0,2.0,120.83,Aug,24,2007,"County Ground, Bristol",England,9.0,0.0,54.0,1.0,6.0,32.0,9.0,0.0,1.0,2.0,England
CT Tremlett,not out,not out,0.0,1.0,4.0,0.0,0.0,0.0,Aug,24,2007,"County Ground, Bristol",England,9.0,0.0,73.0,0.0,8.11,24.0,8.0,2.0,2.0,3.0,England
SC Ganguly,c Collingwood b Flintoff,c b,39.0,54.0,100.0,5.0,1.0,72.22,Aug,24,2007,"County Ground, Bristol",India,3.0,0.0,17.0,0.0,5.66,9.0,2.0,0.0,0.0,0.0,India
SR Tendulkar,c â Prior b Flintoff,c b,99.0,112.0,158.0,15.0,1.0,88.39,Aug,24,2007,"County Ground, Bristol",India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Yuvraj Singh,c Collingwood b Broad,c b,49.0,53.0,94.0,6.0,0.0,92.45,Aug,24,2007,"County Ground, Bristol",India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
R Dravid,not out,not out,92.0,63.0,88.0,11.0,1.0,146.03,Aug,24,2007,"County Ground, Bristol",India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MS Dhoni,c Tremlett b Anderson,c b,21.0,18.0,31.0,3.0,0.0,116.66,Aug,24,2007,"County Ground, Bristol",India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
KD Karthik,lbw b Flintoff,lbw b,1.0,2.0,5.0,0.0,0.0,50.0,Aug,24,2007,"County Ground, Bristol",India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AB Agarkar,c â Prior b Flintoff,c b,1.0,3.0,2.0,0.0,0.0,33.33,Aug,24,2007,"County Ground, Bristol",India,9.0,1.0,67.0,0.0,7.44,31.0,10.0,1.0,3.0,1.0,India
RR Powar,c â Prior b Flintoff,c b,1.0,2.0,2.0,0.0,0.0,50.0,Aug,24,2007,"County Ground, Bristol",India,10.0,0.0,43.0,1.0,4.3,33.0,3.0,1.0,1.0,0.0,India
PP Chawla,not out,not out,1.0,1.0,1.0,0.0,0.0,100.0,Aug,24,2007,"County Ground, Bristol",India,10.0,0.0,60.0,3.0,6.0,30.0,4.0,3.0,1.0,0.0,India
Tamim Iqbal,c â Kieswetter b Shahzad,c b,18.0,23.0,17.0,3.0,0.0,78.26,Jul,10,2010,"County Ground, Bristol",Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Imrul Kayes,c Collingwood b Shahzad,c b,76.0,111.0,187.0,4.0,0.0,68.46,Jul,10,2010,"County Ground, Bristol",Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Junaid Siddique,c â Kieswetter b Broad,c b,21.0,23.0,35.0,4.0,0.0,91.3,Jul,10,2010,"County Ground, Bristol",Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jahurul Islam,c â Kieswetter b Shahzad,c b,40.0,53.0,70.0,1.0,1.0,75.47,Jul,10,2010,"County Ground, Bristol",Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Shakib Al,b Collingwood,b,1.0,3.0,1.0,0.0,0.0,33.33,Jul,10,2010,"County Ground, Bristol",Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mohammad Ashraful,run out (â Kieswetter/Shahzad),run out,14.0,29.0,29.0,1.0,0.0,48.27,Jul,10,2010,"County Ground, Bristol",Bangladesh,1.0,0.0,9.0,0.0,9.0,2.0,0.0,1.0,0.0,0.0,Bangladesh
Mahmudullah,not out,not out,24.0,34.0,54.0,0.0,0.0,70.58,Jul,10,2010,"County Ground, Bristol",Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mashrafe Mortaza,run out (â Kieswetter/Morgan/Anderson),run out,22.0,25.0,26.0,2.0,1.0,88.0,Jul,10,2010,"County Ground, Bristol",Bangladesh,10.0,0.0,42.0,2.0,4.2,36.0,3.0,1.0,0.0,0.0,Bangladesh
Abdur Razzak,not out,not out,1.0,2.0,2.0,0.0,0.0,50.0,Jul,10,2010,"County Ground, Bristol",Bangladesh,10.0,0.0,43.0,2.0,4.3,33.0,2.0,1.0,1.0,0.0,Bangladesh
AJ Strauss,c â Jahurul Islam b Rubel Hossain,c b,33.0,36.0,32.0,4.0,1.0,91.66,Jul,10,2010,"County Ground, Bristol",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C Kieswetter,c â Jahurul Islam b Rubel Hossain,c b,20.0,17.0,40.0,2.0,1.0,117.64,Jul,10,2010,"County Ground, Bristol",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IJL Trott,c â Jahurul Islam b Shafiul Islam,c b,94.0,130.0,170.0,8.0,0.0,72.3,Jul,10,2010,"County Ground, Bristol",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PD Collingwood,lbw b Abdur Razzak,lbw b,10.0,24.0,34.0,0.0,1.0,41.66,Jul,10,2010,"County Ground, Bristol",England,5.0,0.0,16.0,1.0,3.2,16.0,0.0,0.0,0.0,0.0,England
EJG Morgan,lbw b Abdur Razzak,lbw b,1.0,3.0,6.0,0.0,0.0,33.33,Jul,10,2010,"County Ground, Bristol",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MH Yardy,b Shakib Al Hasan,b,10.0,24.0,24.0,0.0,0.0,41.66,Jul,10,2010,"County Ground, Bristol",England,10.0,0.0,39.0,0.0,3.9,31.0,0.0,0.0,3.0,0.0,England
LJ Wright,c Junaid Siddique b Shafiul Islam,c b,15.0,22.0,33.0,0.0,1.0,68.18,Jul,10,2010,"County Ground, Bristol",England,6.0,0.0,30.0,0.0,5.0,17.0,2.0,0.0,2.0,0.0,England
A Shahzad,b Shakib Al Hasan,b,5.0,9.0,13.0,0.0,0.0,55.55,Jul,10,2010,"County Ground, Bristol",England,10.0,0.0,41.0,3.0,4.1,36.0,4.0,0.0,2.0,0.0,England
SCJ Broad,c Shakib Al Hasan b Mashrafe Mortaza,c b,21.0,25.0,34.0,1.0,1.0,84.0,Jul,10,2010,"County Ground, Bristol",England,10.0,0.0,60.0,1.0,6.0,30.0,3.0,2.0,2.0,3.0,England
JM Anderson,c & b Mashrafe Mortaza,c b,2.0,7.0,14.0,0.0,0.0,28.57,Jul,10,2010,"County Ground, Bristol",England,9.0,0.0,46.0,0.0,5.11,28.0,6.0,0.0,1.0,0.0,England
IR Bell,not out,not out,0.0,0.0,3.0,0.0,0.0,0.0,Jul,10,2010,"County Ground, Bristol",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SC Ganguly,run out (Silva/â Sangakkara),run out,9.0,19.0,37.0,2.0,0.0,47.36,Jul,11,2002,"County Ground, Bristol",India,10.0,0.0,40.0,1.0,4.0,34.0,2.0,1.0,1.0,1.0,India
V Sehwag,run out (Fernando),run out,39.0,40.0,61.0,6.0,0.0,97.5,Jul,11,2002,"County Ground, Bristol",India,1.0,0.0,10.0,0.0,10.0,2.0,2.0,0.0,0.0,0.0,India
D Mongia,b Samaraweera,b,48.0,63.0,91.0,6.0,0.0,76.19,Jul,11,2002,"County Ground, Bristol",India,1.0,0.0,8.0,0.0,8.0,2.0,0.0,0.0,1.0,0.0,India
SR Tendulkar,c Chandana b Vaas,c b,113.0,102.0,141.0,12.0,1.0,110.78,Jul,11,2002,"County Ground, Bristol",India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
R Dravid,lbw b Chandana,lbw b,13.0,16.0,20.0,1.0,0.0,81.25,Jul,11,2002,"County Ground, Bristol",India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Yuvraj Singh,lbw b Samaraweera,lbw b,8.0,11.0,10.0,1.0,0.0,72.72,Jul,11,2002,"County Ground, Bristol",India,2.0,0.0,12.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,India
M Kaif,c Silva b Zoysa,c b,41.0,43.0,53.0,3.0,0.0,95.34,Jul,11,2002,"County Ground, Bristol",India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Harbhajan Singh,run out (Jayasuriya),run out,0.0,0.0,2.0,0.0,0.0,0.0,Jul,11,2002,"County Ground, Bristol",India,10.0,0.0,46.0,4.0,4.6,31.0,3.0,0.0,1.0,0.0,India
Z Khan,b Fernando,b,0.0,1.0,3.0,0.0,0.0,0.0,Jul,11,2002,"County Ground, Bristol",India,8.1,0.0,52.0,1.0,6.36,27.0,9.0,0.0,0.0,1.0,India
A Nehra,b Fernando,b,3.0,6.0,12.0,0.0,0.0,50.0,Jul,11,2002,"County Ground, Bristol",India,7.0,0.0,28.0,0.0,4.0,29.0,3.0,0.0,0.0,1.0,India
T Yohannan,not out,not out,5.0,5.0,7.0,0.0,0.0,100.0,Jul,11,2002,"County Ground, Bristol",India,5.0,0.0,39.0,0.0,7.8,14.0,4.0,1.0,2.0,3.0,India
ST Jayasuriya,lbw b Khan,lbw b,5.0,4.0,5.0,1.0,0.0,125.0,Jul,11,2002,"County Ground, Bristol",Sri Lanka,2.0,0.0,14.0,0.0,7.0,4.0,1.0,0.0,3.0,0.0,Sri Lanka
MS Atapattu,run out (Yuvraj Singh),run out,53.0,74.0,131.0,5.0,0.0,71.62,Jul,11,2002,"County Ground, Bristol",Sri Lanka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
KC Sangakkara,st â Dravid b Harbhajan Singh,st b,66.0,47.0,58.0,11.0,1.0,140.42,Jul,11,2002,"County Ground, Bristol",Sri Lanka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DPMD Jayawardene,c Nehra b Yuvraj Singh,c b,31.0,44.0,52.0,2.0,0.0,70.45,Jul,11,2002,"County Ground, Bristol",Sri Lanka,2.0,0.0,16.0,0.0,8.0,3.0,2.0,0.0,0.0,0.0,Sri Lanka
